,Rank,Released,Movie,Total Box Office,url
50,89,2005,"The Chronicles of Narnia: The Lion, the Witch a…","$412,335,608",https://www.the-numbers.com/movie/Chronicles-of-Narnia-The-Lion-the-Witch-and-the-Wardrobe-The#tab=summary
51,90,2005,Harry Potter and the Goblet of Fire,"$411,719,381",https://www.the-numbers.com/movie/Harry-Potter-and-the-Goblet-of-Fire#tab=summary
52,91,2002,Harry Potter and the Chamber of Secrets,"$410,227,600",https://www.the-numbers.com/movie/Harry-Potter-and-the-Chamber-of-Secrets#tab=summary
53,92,2007,Pirates of the Caribbean: At World’s End,"$409,712,211",https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-At-Worlds-End#tab=summary
54,93,2017,Jumanji: Welcome to the Jungle,"$407,146,634",https://www.the-numbers.com/movie/Jumanji-Welcome-to-the-Jungle#tab=summary
55,94,2011,Transformers: Dark of the Moon,"$404,826,964",https://www.the-numbers.com/movie/Transformers-Dark-of-the-Moon#tab=summary
56,96,2008,Iron Man,"$404,223,700",https://www.the-numbers.com/movie/Iron-Man#tab=summary
57,97,2004,Meet the Fockers,"$404,193,819",https://www.the-numbers.com/movie/Meet-the-Fockers#tab=summary
58,98,2008,Indiana Jones and the Kingdom of the Crystal Skull,"$402,338,604",https://www.the-numbers.com/movie/Indiana-Jones-and-the-Kingdom-of-the-Crystal-Skull#tab=summary
59,105,2017,Guardians of the Galaxy Vol 2,"$395,897,133",https://www.the-numbers.com/movie/Guardians-of-the-Galaxy-Vol-2#tab=summary
60,108,2019,Spider-Man: Far From Home,"$390,532,085",https://www.the-numbers.com/movie/Spider-Man-Far-From-Home-(2019)#tab=summary
61,109,2016,The Secret Life of Pets,"$387,974,703",https://www.the-numbers.com/movie/Secret-Life-of-Pets-The#tab=summary
62,112,2007,Harry Potter and the Order of the Phoenix,"$386,651,621",https://www.the-numbers.com/movie/Harry-Potter-and-the-Order-of-the-Phoenix#tab=summary
63,114,2010,Alice in Wonderland,"$385,865,775",https://www.the-numbers.com/movie/Alice-in-Wonderland-(2010)#tab=summary
64,116,2015,Inside Out,"$385,215,439",https://www.the-numbers.com/movie/Inside-Out-(2015)#tab=summary
65,120,2016,The Jungle Book,"$383,358,402",https://www.the-numbers.com/movie/Jungle-Book-The-(2016)#tab=summary
66,121,2004,The Incredibles,"$383,083,289",https://www.the-numbers.com/movie/Incredibles-The#tab=summary
67,122,2016,Deadpool,"$382,378,512",https://www.the-numbers.com/movie/Deadpool#tab=summary
